0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
pleopeltis polylepis var. erythrolepis,tx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corylus americana,al,ar,ct,de,dc,ga,il,in,ia,ks,ky,la,me,md,ma,mi,mn,ms,mo,ne,nh,nj,ny,nc,nd,oh,ok,pa,ri,sc,sd,tn,vt,va,wv,wi,mb,on,qc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyrtomium caryotideum,al,hi,la,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
potentilla drummondii ssp. drummondii,ak,ca,id,mt,or,wa,ab,bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mouriri domingensis,pr,vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dichanthelium acuminatum var. thermale,ca,co,id,mt,or,ut,wa,wy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyrilla,al,de,fl,ga,la,ms,nc,sc,tx,va,pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erigeron grandiflorus ssp. grandiflorus,co,mt,ab,bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hypericum majus,co,ct,de,id,il,in,ia,ks,me,ma,mi,mn,mo,mt,ne,nh,nj,ny,nd,oh,ok,or,pa,ri,sd,vt,wa,wi,ab,bc,mb,nb,ns,on,pe,qc,sk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rumohra,fl,pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tectaria plantaginea var. confluens,pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lithospermum parksii var. parksii,nm,tx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
castanea pumila,al,ar,de,dc,fl,ga,in,ky,la,md,ma,ms,mo,nj,ny,nc,oh,ok,pa,sc,tn,tx,va,wv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
juncus gerardii,co,ct,de,il,in,ks,ky,me,md,ma,mi,mn,mo,mt,nh,nj,ny,nd,oh,or,pa,ri,ut,vt,va,wa,wi,wy,bc,mb,nb,nf,ns,on,pe,qc,dengl,fraspm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poa curtifolia,wa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lindera benzoin var. benzoin,ar,ct,de,dc,ga,il,in,ks,ky,me,md,ma,mi,mo,nh,nj,ny,nc,oh,ok,pa,ri,sc,tn,vt,va,wv,on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rubus junceus,me,mi,mn,nh,vt,wi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyanea asarifolia,hi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chamaecytisus prolifera,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carex ×reducta,qc,gl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
braya linearis,gl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chorizanthe orcuttiana,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solanum dulcamara var. dulcamara,ca,co,ct,de,dc,fl,ga,id,il,in,ia,ks,ky,me,md,ma,mi,mn,mo,mt,ne,nv,nh,nj,nm,ny,nc,nd,oh,ok,or,pa,ri,sd,tn,ut,vt,va,wa,wv,wi,wy,bc,nb,nf,ns,on,pe,qc,sk,,,,,,,,,,,,,,,,,,
taraxacum,al,ak,az,ar,ca,co,ct,de,dc,fl,ga,hi,id,il,in,ia,ks,ky,la,me,md,ma,mi,mn,ms,mo,mt,ne,nv,nh,nj,nm,ny,nc,nd,oh,ok,or,pa,ri,sc,sd,tn,tx,ut,vt,va,wa,wv,wi,wy,pr,ab,bc,lb,mb,nb,nf,nt,ns,nu,on,pe,qc,sk,yt,dengl,fraspm
melampyrum lineare var. pectinatum,ct,de,dc,in,ky,md,ma,nh,nj,ny,pa,ri,vt,va,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conimitella,co,id,mt,wy,ab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cakile edentula,al,ak,ca,ct,de,fl,ga,il,in,la,me,md,ma,mi,ms,nh,nj,ny,nc,oh,or,pa,ri,sc,va,wa,wi,bc,lb,nb,nf,ns,on,pe,qc,dengl,fraspm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yucca reverchonii,tx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fritillaria biflora,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agrostis aequivalvis,ak,or,wa,bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astragalus asymmetricus,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lilium martagon,qc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nephrolepis ×medlerae,hi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mikania scandens,al,ar,ct,de,dc,fl,ga,il,in,ky,la,me,md,ma,mi,ms,mo,nh,nj,ny,nc,oh,ok,pa,ri,sc,tn,tx,va,on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dudleya blochmaniae ssp. brevifolia,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polygonum hickmanii,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trifolium willdenovii,az,ca,id,or,wa,bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argemone mexicana,al,ar,ct,de,dc,fl,ga,hi,il,in,ia,ks,la,md,ma,mi,ms,mo,ne,nj,ny,nc,oh,pa,sc,tn,tx,vt,va,pr,vi,mb,on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allium geyeri var. chatterleyi,ut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crepis vesicaria ssp. taraxacifolia,ca,ct,ny,nc,or,pa,bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
streptopus lanceolatus,ak,ct,ga,ia,ky,me,md,ma,mi,mn,nh,nj,ny,nc,oh,or,pa,ri,tn,vt,va,wa,wv,wi,ab,bc,lb,mb,nb,nf,ns,on,pe,qc,fraspm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lobelia anatina,az,nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ranunculus pedatifidus,ak,az,co,mn,mt,nv,nd,ut,wa,wy,ab,bc,lb,mb,nf,nt,nu,on,qc,sk,yt,gl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ochrosia compta,hi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
physalis pubescens var. pubescens,al,fl,ga,il,in,ia,ky,la,md,mi,ms,mo,nj,nc,oh,pa,sc,tn,tx,va,wv,pr,vi,mb,nb,on,qc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eriogonum ripleyi,az,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsteris,ak,az,ca,co,id,il,mt,ne,nv,nm,or,sd,ut,wa,wy,ab,bc,yt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oxalis pes-caprae,az,ca,fl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
viola ×melissifolia,ny,vt,nb,nf,pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calamagrostis scopulorum,az,co,mt,nm,ut,wy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amphitecna latifolia,fl,pr,vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
condalia warnockii,az,nm,tx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equisetum hyemale var. affine,al,ak,az,ar,ca,co,ct,de,dc,fl,ga,id,il,in,ia,ks,ky,la,me,md,ma,mi,mn,ms,mo,mt,ne,nv,nh,nj,nm,ny,nc,nd,oh,ok,or,pa,ri,sc,sd,tn,tx,ut,vt,va,wa,wv,wi,wy,ab,bc,mb,nb,nf,nt,ns,on,qc,sk,yt,gl,,,,,,
lotus unifoliolatus,al,az,ar,ca,ct,ga,id,il,in,ia,ks,la,ma,mn,mo,mt,ne,nv,ny,nc,nd,ok,or,sc,sd,tx,va,wa,wi,wy,bc,mb,sk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyperus retrorsus var. retrorsus,al,ar,de,dc,fl,ga,il,in,ky,la,md,ms,mo,nj,nm,ny,nc,ok,pa,sc,tn,tx,va,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
physaria lepidota,ut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sidalcea calycosa ssp. rhizomata,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iliamna bakeri,ca,or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carex ×hartii,me,ma,vt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quercus garryana var. garryana,ca,or,wa,bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stachys eplingii,al,ar,dc,ga,ky,nc,ok,sc,tn,va,wv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perideridia californica,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthoxanthum odoratum,al,ak,ar,ca,co,ct,de,dc,ga,hi,id,il,in,ky,la,me,md,ma,mi,ms,mo,nh,nj,nm,ny,nc,oh,or,pa,ri,sc,tn,tx,vt,va,wa,wv,wi,bc,nb,nf,ns,on,pe,qc,dengl,fraspm,,,,,,,,,,,,,,,,,,,,,
asyneuma,ca,or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phacelia crenulata var. corrugata,az,co,nv,nm,tx,ut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lewisia kelloggii ssp. hutchisonii,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lepidium sordidum,tx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
listera convallarioides,ak,az,ca,co,id,me,mi,mn,mt,nv,nh,ny,or,sd,ut,vt,wa,wi,wy,ab,bc,nb,nf,ns,on,pe,qc,fraspm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miconia subcorymbosa,pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hesperocnide tenella,ca,nv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artemisia tripartita ssp. rupicola,wy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verbesina virginica,al,ar,dc,fl,ga,il,in,ia,ks,ky,la,md,ms,mo,nc,oh,ok,pa,sc,tn,tx,va,wv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lactuca graminifolia var. arizonica,az,co,nm,tx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fimbristylis caroliniana,al,de,fl,ga,la,md,ms,nj,ny,nc,sc,tx,va,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aphanostephus pilosus,nm,ok,tx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
langloisia setosissima ssp. punctata,ca,id,nv,or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rytidosperma semiannulare,ca,hi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
streptopus lanceolatus var. longipes,ia,mi,mn,pa,wi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lupinus bingenensis var. dubius,or,wa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leptochloa decipiens ssp. peacockii,ms,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vittaria elongata,hi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ammoselinum,az,ar,ca,ks,la,ms,mo,nm,nc,ok,tn,tx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lupinus argenteus ssp. argenteus var. laxiflorus,az,ca,co,id,mt,nv,nm,nd,or,sd,ut,wa,wy,bc,sk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hedeoma plicata,nm,tx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hedeoma mollis,tx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panicum laxum,pr,vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astragalus ensiformis,az,nv,ut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oxandra laurifolia,pr,vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
centipeda,ma,pa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lathyrus japonicus var. parviflorus,oh,mb,on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rhamnus lanceolata ssp. lanceolata,al,il,in,ia,ky,md,mo,oh,pa,tn,va,wv,wi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nasturtium,al,ak,az,ar,ca,co,ct,de,dc,fl,ga,hi,id,il,in,ia,ks,ky,la,me,md,ma,mi,mn,ms,mo,mt,ne,nv,nh,nj,nm,ny,nc,oh,ok,or,pa,ri,sc,sd,tn,tx,ut,vt,va,wa,wv,wi,wy,pr,vi,ab,bc,mb,nb,nf,ns,on,pe,qc,sk,fraspm,,,,,
astragalus douglasii var. parishii,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mirabilis oxybaphoides,az,co,nv,nm,ok,tx,ut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astragalus lentiginosus var. lentiginosus,ca,id,nv,or,wa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elymus multisetus,az,ca,co,id,nv,nm,or,ut,wa,wy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elymus trachycaulus ssp. virescens,gl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pleioblastus,ga,tn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajuga genevensis,ct,il,me,md,ma,mi,mn,nj,ny,oh,pa,ri,vt,wv,wi,on,qc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sagina subulata,hi,or,va,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dyssodia,az,ar,ca,co,il,in,ia,ks,ky,la,me,md,ma,mi,mn,mo,mt,ne,nv,nm,ny,nd,oh,ok,pa,sc,sd,tn,tx,ut,vt,wv,wi,wy,on,sk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrysopsis linearifolia ssp. linearifolia,fl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sideroxylon celastrinum,fl,tx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ribes erythrocarpum,or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
draba asprella var. zionensis,ut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cirsium arizonicum,az,ca,nv,nm,ut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vernonia noveboracensis,al,ct,de,dc,fl,ga,ky,md,ma,nh,nj,nm,ny,nc,oh,pa,ri,sc,tn,va,wv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pellaea ×glaciogena,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bougainvillea,fl,tx,pr,vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cornus nuttallii,ca,id,or,wa,bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eriogonum kingii,nv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
helenium linifolium,tx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sporobolus vaginiflorus,al,az,ar,ca,ct,de,dc,fl,ga,id,il,in,ia,ks,ky,la,me,md,ma,mi,mn,ms,mo,ne,nh,nj,nm,ny,nc,nd,oh,ok,pa,ri,sc,sd,tn,tx,vt,va,wv,wi,bc,nb,ns,on,pe,qc,,,,,,,,,,,,,,,,,,,,
arabis,al,ak,az,ar,ca,co,ct,de,dc,fl,ga,id,il,in,ia,ks,ky,la,me,md,ma,mi,mn,ms,mo,mt,ne,nv,nh,nj,nm,ny,nc,nd,oh,ok,or,pa,ri,sc,sd,tn,tx,ut,vt,va,wa,wv,wi,wy,ab,bc,lb,mb,nb,nf,nt,ns,nu,on,qc,sk,yt,gl,,,,
chaenactis carphoclinia var. peirsonii,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eriogonum vestitum,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clarkia concinna ssp. automixa,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matelea baldwyniana,al,ar,fl,ga,ms,mo,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claytonia parviflora ssp. utahensis,az,ca,nv,ut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hackelia diffusa var. diffusa,or,wa,bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
symphyotrichum racemosum,al,ar,ct,dc,fl,ga,il,in,ky,la,me,md,ma,ms,mo,nj,ny,nc,oh,ok,pa,ri,sc,tn,tx,vt,va,wv,wi,nb,on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argentina egedii,ak,ca,ct,me,ma,nh,ny,or,ri,wa,bc,lb,mb,nt,ns,nu,on,pe,qc,yt,gl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
portulaca biloba,ga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heuchera parvifolia var. utahensis,co,id,mt,nv,ut,wy,ab,sk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antidaphne wrightii,pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schiedea menziesii,hi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chloris ventricosa,sc,va,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desmodium floridanum,al,fl,ga,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trifolium subterraneum,ca,fl,ga,hi,la,ma,ms,nj,nc,or,sc,wa,bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oxytropis arctobia,bc,nt,nu,qc,yt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eremopyrum,az,co,id,mt,ne,nv,nm,ny,or,ut,wa,wy,ab,bc,mb,sk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyperus planifolius,al,fl,ga,pr,vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astragalus cusickii var. cusickii,id,or,wa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epilobium canum ssp. canum,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
helianthus ×verticillatus,al,ga,la,tn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lathyrus lanszwertii,az,ca,co,id,nv,nm,or,tx,ut,wa,wy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
packera hyperborealis,ak,mt,ab,bc,nt,nu,yt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parkinsonia microphylla,az,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paliurus,tx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
townsendia strigosa,co,ut,wy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arctostaphylos confertiflora,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limonium perezii,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dacryodes excelsa,pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
